"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"institution","http://dbpedia.org/resource/Shiraz_University"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"institution","http://dbpedia.org/resource/Harvard_University"
"http://dbpedia.org/resource/Victor_Spinei",1943-10-26,"almaMater","http://dbpedia.org/resource/University_of_Bucharest"
"http://dbpedia.org/resource/Victor_Spinei",1943-10-26,"almaMater","http://dbpedia.org/resource/Alexandru_Ioan_Cuza_University"
"http://dbpedia.org/resource/Donald_Johanson",1943-06-28,"almaMater","http://dbpedia.org/resource/University_of_Chicago"
"http://dbpedia.org/resource/Donald_Johanson",1943-06-28,"almaMater","http://dbpedia.org/resource/University_of_Illinois_at_Urbana–Champaign"
"http://dbpedia.org/resource/Peter_Woodman",1943-07-02,"almaMater","http://dbpedia.org/resource/Queen's_University_of_Belfast"
"http://dbpedia.org/resource/Donald_Johanson",1943-06-28,"institution","http://dbpedia.org/resource/Arizona_State_University"
"http://dbpedia.org/resource/Peter_Woodman",1943-07-02,"institution","http://dbpedia.org/resource/University_College_Cork"
"http://dbpedia.org/resource/Peter_Woodman",1943-07-02,"institution","http://dbpedia.org/resource/Ulster_Museum"
"http://dbpedia.org/resource/Roland_Étienne_(archaeologist)",1944-04-18,"almaMater","http://dbpedia.org/resource/École_normale_supérieure_(Paris)"
"http://dbpedia.org/resource/James_M._Adovasio",1944,"almaMater","http://dbpedia.org/resource/University_of_Arizona"
"http://dbpedia.org/resource/James_M._Adovasio",1944,"almaMater","http://dbpedia.org/resource/University_of_Utah"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"almaMater","http://dbpedia.org/resource/University_of_California,_Los_Angeles"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Francis_Pryor",1945-01-13,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"institution","http://dbpedia.org/resource/Albion_College"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"institution","http://dbpedia.org/resource/Northwestern_University"
"http://dbpedia.org/resource/Andrew_Sherratt",1946-05-08,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Ronny_Reich",1947-03-31,"almaMater","http://dbpedia.org/resource/Hebrew_University_of_Jerusalem"
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28,"almaMater","http://dbpedia.org/resource/Cairo_University"
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28,"almaMater","http://dbpedia.org/resource/University_of_Pennsylvania"
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28,"almaMater","http://dbpedia.org/resource/Alexandria_University"
"http://dbpedia.org/resource/David_L._Kennedy",1948-04-25,"almaMater","http://dbpedia.org/resource/University_of_Manchester"
"http://dbpedia.org/resource/David_L._Kennedy",1948-04-25,"almaMater","http://dbpedia.org/resource/University_of_Oxford"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"almaMater","http://dbpedia.org/resource/University_of_Milan"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"almaMater","http://dbpedia.org/resource/UCL_Institute_of_Archaeology"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"almaMater","http://dbpedia.org/resource/Peterhouse,_Cambridge"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"almaMater","http://dbpedia.org/resource/University_of_London"
"http://dbpedia.org/resource/David_L._Kennedy",1948-04-25,"institution","http://dbpedia.org/resource/Boston_University"
"http://dbpedia.org/resource/David_L._Kennedy",1948-04-25,"institution","http://dbpedia.org/resource/University_of_Sheffield"
"http://dbpedia.org/resource/David_L._Kennedy",1948-04-25,"institution","http://dbpedia.org/resource/University_of_Western_Australia"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"institution","http://dbpedia.org/resource/Ca'_Foscari_University_of_Venice"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"institution","http://dbpedia.org/resource/University_of_Genoa"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"institution","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"institution","http://dbpedia.org/resource/University_of_Leeds"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"institution","http://dbpedia.org/resource/Stanford_University"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"institution","http://dbpedia.org/resource/Darwin_College,_Cambridge"
"http://dbpedia.org/resource/Dolores_Piperno",1949,"almaMater","http://dbpedia.org/resource/Rutgers_University"
"http://dbpedia.org/resource/Dolores_Piperno",1949,"almaMater","http://dbpedia.org/resource/Temple_University"
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29,"almaMater","http://dbpedia.org/resource/Tel_Aviv_University"
"http://dbpedia.org/resource/Dolores_Piperno",1949,"institution","http://dbpedia.org/resource/Smithsonian_Tropical_Research_Institute"
"http://dbpedia.org/resource/Dolores_Piperno",1949,"institution","http://dbpedia.org/resource/National_Museum_of_Natural_History"
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29,"institution","http://dbpedia.org/resource/University_of_Haifa"
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29,"institution","http://dbpedia.org/resource/Tel_Aviv_University"
"http://dbpedia.org/resource/Mike_Morwood",1950-10-27,"almaMater","http://dbpedia.org/resource/University_of_Auckland"
"http://dbpedia.org/resource/Mary_Beaudry",1950-11-25,"institution","http://dbpedia.org/resource/Boston_University"
"http://dbpedia.org/resource/Gary_M._Feinman",1951,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Gary_M._Feinman",1951,"almaMater","http://dbpedia.org/resource/Stuyvesant_High_School"
"http://dbpedia.org/resource/Gary_M._Feinman",1951,"almaMater","http://dbpedia.org/resource/CUNY_Graduate_Center"
"http://dbpedia.org/resource/Gary_M._Feinman",1951,"institution","http://dbpedia.org/resource/Field_Museum_of_Natural_History"
"http://dbpedia.org/resource/Richard_Hodges_(archaeologist)",1952-09-29,"almaMater","http://dbpedia.org/resource/University_of_Southampton"
"http://dbpedia.org/resource/Marek_Zvelebil",1952-01-09,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Marek_Zvelebil",1952-01-09,"almaMater","http://dbpedia.org/resource/University_of_Sheffield"
"http://dbpedia.org/resource/Lynne_Goldstein",1953-09-18,"almaMater","http://dbpedia.org/resource/Beloit_College"
"http://dbpedia.org/resource/Lynne_Goldstein",1953-09-18,"almaMater","http://dbpedia.org/resource/Northwestern_University"
"http://dbpedia.org/resource/Klaus_Schmidt_(archaeologist)",1953-12-11,"almaMater","http://dbpedia.org/resource/Heidelberg_University"
"http://dbpedia.org/resource/Klaus_Schmidt_(archaeologist)",1953-12-11,"almaMater","http://dbpedia.org/resource/University_of_Erlangen-Nuremberg"
"http://dbpedia.org/resource/Wil_Roebroeks",1955-05-05,"almaMater","http://dbpedia.org/resource/Leiden_University"
"http://dbpedia.org/resource/Wil_Roebroeks",1955-05-05,"almaMater","http://dbpedia.org/resource/Radboud_University_Nijmegen"
"http://dbpedia.org/resource/Wil_Roebroeks",1955-05-05,"institution","http://dbpedia.org/resource/Leiden_University"
"http://dbpedia.org/resource/Eilat_Mazar",1956-09-10,"almaMater","http://dbpedia.org/resource/Hebrew_University_of_Jerusalem"
"http://dbpedia.org/resource/Valentine_Roux",1956,"almaMater","http://dbpedia.org/resource/University_of_Paris"
"http://dbpedia.org/resource/Eilat_Mazar",1956-09-10,"institution","http://dbpedia.org/resource/Shalem_Center"
"http://dbpedia.org/resource/Eilat_Mazar",1956-09-10,"institution","http://dbpedia.org/resource/Hebrew_University"
"http://dbpedia.org/resource/Louise_Zarmati",1958-08-08,"almaMater","http://dbpedia.org/resource/University_of_Sydney"
"http://dbpedia.org/resource/Neil_Faulkner_(archaeologist)",1958-01-22,"almaMater","http://dbpedia.org/resource/University_College_London"
"http://dbpedia.org/resource/Neil_Faulkner_(archaeologist)",1958-01-22,"almaMater","http://dbpedia.org/resource/King's_College,_Cambridge"
